errorname,xid
ROBUST_CHANNEL_GR_EXCEPTION,13
ROBUST_CHANNEL_FAKE_ERROR,14
ROBUST_CHANNEL_VBLANK_CALLBACK_TIMEOUT,16
ROBUST_CHANNEL_DISP_MISSED_NOTIFIER,19
ROBUST_CHANNEL_MPEG_ERROR_SW_METHOD,20
ROBUST_CHANNEL_ME_ERROR_SW_METHOD,21
ROBUST_CHANNEL_VP_ERROR_SW_METHOD,22
ROBUST_CHANNEL_RC_LOGGING_ENABLED,23
ROBUST_CHANNEL_VP_ERROR,27
ROBUST_CHANNEL_VP2_ERROR,28
ROBUST_CHANNEL_BSP_ERROR,29
ROBUST_CHANNEL_UNUSED_ERROR_30,30
ROBUST_CHANNEL_FIFO_ERROR_MMU_ERR_FLT,31
ROBUST_CHANNEL_PBDMA_ERROR,32
ROBUST_CHANNEL_SEC_ERROR,33
ROBUST_CHANNEL_MSVLD_ERROR,34
ROBUST_CHANNEL_MSPDEC_ERROR,35
ROBUST_CHANNEL_MSPPP_ERROR,36
ROBUST_CHANNEL_CE0_ERROR,39
ROBUST_CHANNEL_CE1_ERROR,40
ROBUST_CHANNEL_CE2_ERROR,41
ROBUST_CHANNEL_VIC_ERROR,42
ROBUST_CHANNEL_RESETCHANNEL_VERIF_ERROR,43
ROBUST_CHANNEL_GR_FAULT_DURING_CTXSW,44
ROBUST_CHANNEL_PREEMPTIVE_REMOVAL,45
ROBUST_CHANNEL_NVENC0_ERROR,47
ROBUST_CHANNEL_GPU_ECC_DBE,48
FB_MEMORY_ERROR,58
PMU_ERROR,59
ROBUST_CHANNEL_SEC2_ERROR,60
PMU_BREAKPOINT,61
PMU_HALT_ERROR,62
INFOROM_PAGE_RETIREMENT_EVENT,63
INFOROM_PAGE_RETIREMENT_FAILURE,64
ROBUST_CHANNEL_NVENC1_ERROR,65
ROBUST_CHANNEL_NVDEC0_ERROR,68
ROBUST_CHANNEL_GR_CLASS_ERROR,69
ROBUST_CHANNEL_CE3_ERROR,70
ROBUST_CHANNEL_CE4_ERROR,71
ROBUST_CHANNEL_CE5_ERROR,72
ROBUST_CHANNEL_NVENC2_ERROR,73
NVLINK_ERROR,74
ROBUST_CHANNEL_CE6_ERROR,75
ROBUST_CHANNEL_CE7_ERROR,76
ROBUST_CHANNEL_CE8_ERROR,77
VGPU_START_ERROR,78
ROBUST_CHANNEL_GPU_HAS_FALLEN_OFF_THE_BUS (79),0
PBDMA_PUSHBUFFER_CRC_MISMATCH,80
ROBUST_CHANNEL_VGA_SUBSYSTEM_ERROR,81
ROBUST_CHANNEL_NVJPG0_ERROR,82
ROBUST_CHANNEL_NVDEC1_ERROR,83
ROBUST_CHANNEL_NVDEC2_ERROR,84
ROBUST_CHANNEL_CE9_ERROR,85
ROBUST_CHANNEL_OFA0_ERROR,86
NVTELEMETRY_DRIVER_REPORT,87
ROBUST_CHANNEL_NVDEC3_ERROR,88
ROBUST_CHANNEL_NVDEC4_ERROR,89
LTC_ERROR,90
RESERVED_XID,91
EXCESSIVE_SBE_INTERRUPTS,92
INFOROM_ERASE_LIMIT_EXCEEDED,93
ROBUST_CHANNEL_CONTAINED_ERROR,94
ROBUST_CHANNEL_UNCONTAINED_ERROR,95
ROBUST_CHANNEL_NVDEC5_ERROR,96
ROBUST_CHANNEL_NVDEC6_ERROR,97
ROBUST_CHANNEL_NVDEC7_ERROR,98
ROBUST_CHANNEL_NVJPG1_ERROR,99
ROBUST_CHANNEL_NVJPG2_ERROR,100
ROBUST_CHANNEL_NVJPG3_ERROR,101
ROBUST_CHANNEL_NVJPG4_ERROR,102
ROBUST_CHANNEL_NVJPG5_ERROR,103
ROBUST_CHANNEL_NVJPG6_ERROR,104
ROBUST_CHANNEL_NVJPG7_ERROR,105
DESTINATION_FLA_TRANSLATION_ERROR,108
SEC_FAULT_ERROR,110
GSP_RPC_TIMEOUT,119
GSP_ERROR,120
C2C_ERROR,121
SPI_PMU_RPC_READ_FAIL,122
SPI_PMU_RPC_WRITE_FAIL,123
SPI_PMU_RPC_ERASE_FAIL,124
INFOROM_FS_ERROR,125
ROBUST_CHANNEL_CE10_ERROR,126
ROBUST_CHANNEL_CE11_ERROR,127
ROBUST_CHANNEL_CE12_ERROR,128
ROBUST_CHANNEL_CE13_ERROR,129
ROBUST_CHANNEL_CE14_ERROR,130
ROBUST_CHANNEL_CE15_ERROR,131
ROBUST_CHANNEL_CE16_ERROR,132
ROBUST_CHANNEL_CE17_ERROR,133
ROBUST_CHANNEL_CE18_ERROR,134
ROBUST_CHANNEL_CE19_ERROR,135
ALI_TRAINING_FAIL,136
NVLINK_FLA_PRIV_ERR,137
ROBUST_CHANNEL_DLA_ERROR,138
ROBUST_CHANNEL_OFA1_ERROR,139
UNRECOVERABLE_ECC_ERROR_ESCAPE,140
ROBUST_CHANNEL_FAST_PATH_ERROR,141
ROBUST_CHANNEL_NVENC3_ERROR,142
GPU_INIT_ERROR,143
NVLINK_SAW_ERROR,144
NVLINK_RLW_ERROR,145
NVLINK_TLW_ERROR,146
NVLINK_TREX_ERROR,147
NVLINK_NVLPW_CTRL_ERROR,148
NVLINK_NETIR_ERROR,149
NVLINK_MSE_ERROR,150
ROBUST_CHANNEL_KEY_ROTATION_ERROR,151
RESERVED7_ERROR,152
RESERVED8_ERROR,153
GPU_RECOVERY_ACTION_CHANGED,154
NVLINK_SW_DEFINED_ERROR,155
RESOURCE_RETIREMENT_EVENT,156
RESOURCE_RETIREMENT_FAILURE,157
